respondent_number	respondent_id	respondent_name	respondent_qid	respondent_gender	respondent_birth_date	respondent_death_date	respondent_wikipedia_sitelinks	respondent_wikipedia_sitelinks_retrieved	respondent_qrank	respondent_qrank_retrieved	respondent_letter_first_printed	respondent_letter_first_printed_url
46	voter-mrs-c-b-king	Mrs. C. B. King	Q141484775	female	1829-06-15	1905-01-14	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
47	voter-rev-j-c-learned	Rev. J. C. Learned	Q94662903	male	1834	1893	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
48	voter-miss-mary-thorn-lewis	Miss Mary Thorn Lewis	Q126001998	female	1854-02-27	1952-10-26	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
49	voter-miss-lily-a-long	Miss Lily A. Long	Q70278553	female	1862	1927	1	2026-09-21T08:47:41Z	196	2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
50	voter-h-mceroy	H. McEroy	Q141224997	male	1849-10-02	1915-10-15	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-10-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA306
51	voter-mrs-a-b-mcmahan	Mrs. A. B. McMahan	Q103982195	female	1846-07-24	1919-11-27	0	2026-09-21T08:47:41Z	8	2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
52	voter-mrs-emma-e-marean	Mrs. Emma E. Marean	Q138654833	female	1854-01-20	1936-10-17	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
53	voter-mrs-mary-b-marean	Mrs. Mary B. Marean	Q141419089	female	1839	1909-10-01	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
54	voter-edwin-d-mead	Edwin D. Mead	Q83982479	male	1849-09-29	1937-08-17	1	2026-09-21T08:47:42Z	113	2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
55	voter-rev-mary-a-safford	Rev. Mary A. Safford	Q56248084	female	1851-12-23	1927-10-25	1	2026-09-21T08:47:42Z	302	2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
