novel_qid	novel_title	novel_language	novel_publication_year	novel_vote_count	novel_mention_count	author_qid	author_name	author_sex	novel_goodreads_id
Q7712607	The Adventures of Peregrine Pickle	English	1751	0	1	Q356283	Tobias Smollett	male	2037773
Q7723455	The Cloister and the Hearth	English	1861	3	0	Q247473	Charles Reade	male	19058901
Q7731161	The Duke's Children	English	1879/1880	0	1	Q318399	Anthony Trollope	male	364264
Q7737514	The Grandissimes	English	1880	2	0	Q1508545	George Washington Cable	male	1345091
Q7745622	The Last Chronicle of Barset	English	1866/1867	1	1	Q318399	Anthony Trollope	male	349169
Q7772832	The Virginians	English	1857/1859	3	0	Q167768	William Makepeace Thackeray	male	9238525
Q7815103	Tom Brown at Oxford	English	1861	1	1	Q332580	Thomas Hughes	male	2173388
Q7989800	Westward Ho!	English	1855	3	0	Q353238	Charles Kingsley	male	899695
Q8258	One Thousand and One Nights	French	1704/1717	2	0	Q2818964	various authors		859375
Q840974	Ivanhoe	English	1819	34	2	Q79025	Walter Scott	male	1039021
Q847642	Nicholas Nickleby	English	1839	1	0	Q5686	Charles Dickens	male	4993095
Q861017	The Portrait of a Lady	English	1881	1	0	Q170509	Henry James	male	1434368
Q865211	The Man Who Laughs	French	1869	1	0	Q535	Victor Hugo	male	2335257
Q883305	Bleak House	English	1853	8	0	Q5686	Charles Dickens	male	2960365
Q89518165	The Old Mam'selle's Secret	German	1867/1868	0	1	Q62950	Eugenie Marlitt	female	6168174
Q907568	The Scarlet Letter	English	1850	38	4	Q69339	Nathaniel Hawthorne	male	4925227
Q951198	Elective Affinities	German	1809	2	1	Q5879	Johann Wolfgang Goethe	male	1426173
Q952340	The Talisman	English	1825	2	0	Q79025	Walter Scott	male	21473898
Q96374610	Cecil Dreeme	English	1861	2	0	Q2418747	Theodore Winthrop	male	5140193
Q980534	Clarissa	English	1747/1748	2	0	Q295941	Samuel Richardson	male	2767990
